nmId;Артикул;Категория;Бренд;Продаж;Возвратов;Розница (руб);К выплате (руб);Комиссия WB (руб);Логистика (руб);Ср. цена (руб);Комиссия %;Себестоимость (руб)
327127352;7778899;Браслеты;KOTELNIKOVARTIFACT;156;10;110452.45;112894.25;4879.67;3979.14;914;5.01;
303598439;jw-nb-agt-m-0041;Браслеты;KOTELNIKOVARTIFACT;75;5;110549.65;106299.92;9455.01;1883.28;1785;4.86;
306818299;jw-nb-agt-m-0047;Браслеты;KOTELNIKOVARTIFACT;105;6;99884.63;92980.51;4581.78;2742.53;1191;4.09;
378649009;jw-nb-agt-m-0097;Подвески бижутерные;KOTELNIKOVARTIFACT;31;5;71342.57;87099.29;4219.06;1036.44;2784;4.7;
378674958;jw-nb-agt-m-0098;Подвески бижутерные;KOTELNIKOVARTIFACT;12;0;82777;73186.91;7569.67;221.48;8132;5.83;
292157496;jw-nb-agt-m-0033;Браслеты;KOTELNIKOVARTIFACT;66;2;71460.72;66443.84;3412.74;1360.08;1350;4.72;
434100575;39759465;Подвески бижутерные;KOTELNIKOVARTIFACT;27;3;75451.57;61647.92;10407.17;960.12;3177;2.93;
288129588;jw-nb-agt-m-0031;Подвески бижутерные;KOTELNIKOVARTIFACT;23;2;64205.69;57813.26;4387.41;684.1;3183;4.24;
378297543;jw-nb-agt-m-0096;Подвески бижутерные;KOTELNIKOVARTIFACT;6;0;57519;45690.79;8946.12;129.96;10203;7.86;
378971071;jw-nb-agt-m-0099;Подвески бижутерные;KOTELNIKOVARTIFACT;10;0;53799;45471.7;6374.49;228.28;5842;6.16;
434077004;9458398674;Подвески бижутерные;KOTELNIKOVARTIFACT;39;1;49191;41472.93;5666.25;757.02;1553;5.31;
415524446;34567890;Браслеты;KOTELNIKOVARTIFACT;14;1;39681;40948.89;-1451.16;407.82;3857;4.87;
269374290;jw-nb-agt-m-0019;Браслеты;KOTELNIKOVARTIFACT;29;1;40794;37732.69;2185.3;514.75;1624;4.48;
378980050;jw-nb-agt-m-0100;Подвески бижутерные;KOTELNIKOVARTIFACT;36;3;33113;35340.4;-2380.46;1108.48;1290;1.97;
446306396;97876575454;Подвески бижутерные;KOTELNIKOVARTIFACT;10;0;42604;35171.91;5735.83;163.58;4698;7.05;
387711805;jw-nb-agt-m-0112;Подвески бижутерные;KOTELNIKOVARTIFACT;47;3;37017.36;32263.93;3339.73;1438.92;940;3.22;
293625564;jw-nb-agt-m-0036;Подвески бижутерные;KOTELNIKOVARTIFACT;3;0;35055;31367.21;2921.25;40.25;12983;6.33;
676688948;39865823476587365;Подвески бижутерные;KOTELNIKOVARTIFACT;16;0;38070;31199.64;4961.92;234.24;2945;6;
731562548;38279546586365;Обереги;KOTELNIKOVARTIFACT;4;0;32119.19;29925.25;1205.9;98.24;11621;8.52;
445409409;8978785664;Кольца;KOTELNIKOVARTIFACT;33;4;30105;26049.9;3159.62;741.96;1128;1.68;
691043622;7777776543212;Обереги;KOTELNIKOVARTIFACT;5;0;27615.96;25970.26;839.48;78.08;7938;6.6;
386539305;jw-nb-agt-m-0108;Подвески бижутерные;KOTELNIKOVARTIFACT;39;4;25296.51;25874.05;-738.1;1411.32;878;1.21;
700375269;535353567849040;Обереги;KOTELNIKOVARTIFACT;5;0;24362;25228.55;-803.33;112.35;7560;6.6;
391310895;jw-nb-agt-m-0124;Браслеты;KOTELNIKOVARTIFACT;34;3;24300;23410.37;522.87;1209.78;909;3.99;
288116175;jw-nb-agt-m-0029;Подвески бижутерные;KOTELNIKOVARTIFACT;12;1;25559.72;23120.25;1868.39;372.6;2396;4.63;
289945106;jw-nb-agt-m-0032;Браслеты;KOTELNIKOVARTIFACT;13;1;24355;22627.56;1214.28;325.5;2173;4.27;
288063036;jw-nb-agt-m-0028;Шармы-подвески;KOTELNIKOVARTIFACT;28;2;21677;20787.57;425.48;781.74;968;3.13;
301521548;jw-nb-agt-m-0040;Подвески бижутерные;KOTELNIKOVARTIFACT;3;0;25798;20730.94;3814.08;57;9247;7.83;
307131325;jw-nb-agt-m-0048;Подвески бижутерные;KOTELNIKOVARTIFACT;10;1;22873;20347.91;1742.08;345.72;2550;1.85;
434097996;374293578623;Подвески бижутерные;KOTELNIKOVARTIFACT;4;0;20152;20030.67;-100.42;49.87;6625;5.88;
388167738;jw-nb-agt-m-0114;Браслеты;KOTELNIKOVARTIFACT;6;0;18077;19457.84;-1394.17;128.24;4167;7;
387667621;jw-nb-agt-m-0111;Подвески бижутерные;KOTELNIKOVARTIFACT;29;5;22055.34;19291.62;1916.75;1505.38;876;2.29;
263616667;jw-nb-agt-m-0005;Браслеты;KOTELNIKOVARTIFACT;10;1;18822;18087.66;471.67;275;2240;3.7;
386621737;jw-nb-agt-m-0109;Подвески бижутерные;KOTELNIKOVARTIFACT;15;1;17813;15904.68;1308.23;460.42;1452;3.38;
578795659;87657485835;Кольца;KOTELNIKOVARTIFACT;4;0;17673;15140.1;2034.17;78.08;5600;8;
291902573;jw-nb-agt-m-0034;Браслеты;KOTELNIKOVARTIFACT;19;2;15902;15033.68;597.9;592.1;989;2.95;
445391913;8923735874658746;Природные материалы для творчества;KOTELNIKOVARTIFACT;5;0;16195;14583.2;972.95;78.08;4480;6.6;
391729632;jw-nb-agt-m-0123;Природные материалы для творчества;KOTELNIKOVARTIFACT;5;0;13894;14476.01;-705;104.96;4400;6.6;
699284989;903280357946;Подвески бижутерные;KOTELNIKOVARTIFACT;5;0;15469;14445.09;608.33;112.35;4335;6.4;
568536973;837259562;Обереги;KOTELNIKOVARTIFACT;5;0;12199;13958.82;-1659.67;78.08;4236;6.6;
298650698;jw-nb-agt-m-0043;Серьги;KOTELNIKOVARTIFACT;7;1;15954.41;13402.06;1821.17;315.56;2443;2.79;
542426312;8767756552;Обереги;KOTELNIKOVARTIFACT;5;0;13820;13355.75;83.4;78.08;4095;6.6;
574342203;778674542;Обереги;KOTELNIKOVARTIFACT;10;0;12114;13277.02;-1161;184.64;2016;6.6;
543834982;4485963864;Обереги;KOTELNIKOVARTIFACT;6;0;13641;13069.8;260.02;78.08;3383;5.72;
304681906;jw-nb-agt-m-0042;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;13846;12853.89;737.92;57.88;5367;6.5;
318131090;243542;Браслеты;KOTELNIKOVARTIFACT;14;2;14348;12696.45;1192.3;553.57;1136;2.68;
266967547;jw-nb-agt-m-0011;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;15949;12691;2715;47.5;4288;6.13;
430742201;4535657887;Браслеты;KOTELNIKOVARTIFACT;21;2;15129.11;12582.67;1834.74;624.6;849;2.64;
391785664;jw-nb-agt-m-0121;Природные материалы для творчества;KOTELNIKOVARTIFACT;6;0;10663;12323.72;-1552.77;104.96;3116;5.5;
378998906;jw-nb-agt-m-0101;Подвески бижутерные;KOTELNIKOVARTIFACT;7;0;14370;12230.4;1783;128.24;2184;5.29;
628342861;903257985697;Браслеты;KOTELNIKOVARTIFACT;5;0;12644;12149.55;412.04;78.08;3654;6.4;
292662989;jw-nb-agt-m-0035;Подвески бижутерные;KOTELNIKOVARTIFACT;7;1;14098;12054.94;1479.33;290.1;2160;2.64;
288115269;jw-nb-agt-m-0030;Подвески бижутерные;KOTELNIKOVARTIFACT;11;1;13189;11885.61;1004.66;292.5;1352;3.41;
447793154;7776543322;Обереги;KOTELNIKOVARTIFACT;4;0;10664;11872.79;-1176.18;78.08;4506;8.25;
267766914;jw-nb-agt-m-0015;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;12099;11450.84;419.14;35;4802;6.5;
561823684;8327956235736;Браслеты;KOTELNIKOVARTIFACT;5;0;10209;11442.49;-1189.55;78.08;3240;5.63;
266972361;jw-nb-agt-m-0013;Природные материалы для творчества;KOTELNIKOVARTIFACT;9;1;13502;11100;2001.67;269.2;1667;2.72;
266481695;jw-nb-agt-m-0009;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;11410;11098.85;116.67;35;4667;6.5;
447795230;584348679;Обереги;KOTELNIKOVARTIFACT;5;0;10260;10983.84;-813.9;78.08;3362;6.61;
395899421;jw-nb-agt-m-0129;Браслеты;KOTELNIKOVARTIFACT;3;0;11610;10942.12;506.25;64.12;4500;6.17;
259678801;jw-nb-agt-m-0002;Браслеты;KOTELNIKOVARTIFACT;17;1;12066;10762.72;1000.84;411.75;803;4.65;
412413756;jw-nb-agt-m-0131;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;13442;10695.96;2288.37;49.87;3614;6.13;
374551051;jw-nb-agt-m-0093;Природные материалы для творчества;KOTELNIKOVARTIFACT;6;0;8680;10360;-1400;82.08;2333;4.08;
447792088;99998754;Обереги;KOTELNIKOVARTIFACT;9;1;8415;10064.34;-1402.5;307.85;1558;3.11;
390775378; jw-nb-agt-m-0117;Подвески бижутерные;KOTELNIKOVARTIFACT;8;2;6986.51;10039.1;190.79;319.54;1115;5.34;
445394512;93875346;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;12060;9916;1786.67;63.84;4467;8.17;
385908252;jw-nb-agt-m-0106;Браслеты;KOTELNIKOVARTIFACT;8;2;7061;9587.22;715.87;319.54;996;4.63;
305733662;jw-nb-agt-m-0046;Браслеты;KOTELNIKOVARTIFACT;3;0;10910;9442.31;1050.33;64.12;3947;6.17;
672452104;6972308585;Браслеты;KOTELNIKOVARTIFACT;6;0;11515;9345.41;1625.67;78.08;2344;5.33;
710552269;8976876564564352;Браслеты;KOTELNIKOVARTIFACT;6;0;11682;9268.84;1772.13;112.35;2333;5.33;
369052608;jw-nb-agt-m-0088;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;9979;8958.6;850.33;64.12;3780;6.5;
672460430;98988877634;Обереги;KOTELNIKOVARTIFACT;10;0;7984;8810.22;-814.93;156.16;1338;6.6;
574242346;765636277654;Подвески бижутерные;KOTELNIKOVARTIFACT;6;0;8202;8604.16;-465;78.08;2000;4.5;
699209236;88876212345678;Обереги;KOTELNIKOVARTIFACT;5;0;8741;8447.22;52.87;112.35;2590;6.6;
432459060;09898763;Браслеты;KOTELNIKOVARTIFACT;3;0;7981.7;8435.69;-481.43;49.87;3501;6.17;
264944070;jw-nb-agt-m-0006;Браслеты;KOTELNIKOVARTIFACT;14;3;5356;8271.75;155.11;463.85;457;1.34;
318124238;jw-nb-agt-m-0058;Природные материалы для творчества;KOTELNIKOVARTIFACT;5;0;9023;8124.93;542.13;78.08;2496;6.6;
468740722;382569886;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;5720;7969.82;-1965.42;78.08;2675;6.13;
343158945;jw-nb-agt-m-0060;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;9402;7851.54;1143.18;72.96;2659;6.13;
266969490;jw-nb-agt-m-0012;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;8785;7849.76;742.76;33;2610;6.1;
367834455;jw-nb-agt-m-0087;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;6566;7838.45;-1102.5;64.12;3267;6.5;
412549464;4567890;Браслеты;KOTELNIKOVARTIFACT;3;0;8258;7682.41;479.66;53.43;3201;6.17;
316205510;jw-nb-agt-m-0055;Браслеты;KOTELNIKOVARTIFACT;3;0;8415;7539.84;701.25;42.2;3117;6.33;
391771905;jw-nb-agt-m-0122;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;9408;7522.25;1422.5;82.08;2550;6.13;
317539629;jw-nb-agt-m-0056;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;8987;7473.4;1261.33;49.87;3153;6.5;
304767230;jw-nb-agt-m-0044;Природные материалы для творчества;KOTELNIKOVARTIFACT;5;0;7663;7456.08;76.64;36.7;1881;3.9;
433795545;09898775533;Браслеты;KOTELNIKOVARTIFACT;3;0;10363.71;7444.65;2210.38;49.87;3360;7.83;
596997213;89768756423;Природные материалы для творчества;KOTELNIKOVARTIFACT;5;0;7325;7338.02;-126.83;78.08;2232;6.6;
335125931;jw-nb-agt-m-0069;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;8343;7323.3;849.75;64.12;2318;4.88;
362532108;jw-nb-agt-m-0059;Браслеты;KOTELNIKOVARTIFACT;3;0;8573;7220.01;1127.49;65.55;3008;6.17;
322355553;3563276378265;Браслеты;KOTELNIKOVARTIFACT;9;2;6930;7200;-225;555.02;1000;2.06;
317547824;jw-nb-agt-m-0057;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;7429;7138.84;136.56;36.7;3008;6.5;
347604738;jw-nb-agt-m-0064;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;6610;7084.66;-500.21;64.12;3183;8.17;
267890574;jw-nb-agt-m-0017;Браслеты;KOTELNIKOVARTIFACT;3;0;8265;7057.44;978.75;47.5;2900;6.17;
420796977;34578457896;Подвески бижутерные;KOTELNIKOVARTIFACT;3;0;8925;6942.58;1510.7;68.4;3300;9.39;
333508872;435456;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;8303;6860.9;1201.75;64.12;2913;6.67;
312927818;jw-nb-agt-m-0054;Природные материалы для творчества;;3;0;7640;6739.23;750.64;42.2;2862;6.67;
561830891;89454365;Браслеты;KOTELNIKOVARTIFACT;5;0;7309;6724.58;487.02;78.08;1881;5.4;
309514535;jw-nb-agt-m-0051;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;7314;6638.63;489.67;42.2;2102;5;
374566431;jw-nb-agt-m-0094;Природные материалы для творчества;KOTELNIKOVARTIFACT;5;0;6741;6528.99;154.21;104.96;1957;6.6;
446603584;987875443;Природные материалы для творчества;KOTELNIKOVARTIFACT;3;0;8037;6506.39;1148.25;63.84;2940;8.17;
387093306;jw-nb-agt-m-0110;Подвески бижутерные;KOTELNIKOVARTIFACT;4;0;7850;6460.01;1158.33;64.12;2019;4.63;
383521570;jw-nb-agt-m-0105;Браслеты;KOTELNIKOVARTIFACT;3;0;6944;6460.01;403.33;64.12;2692;6.17;
468684345;9854736;Природные материалы для творчества;KOTELNIKOVARTIFACT;4;0;9021.51;6398.88;1997.59;63.84;2194;6.13;
374544701;jw-nb-agt-m-0092;Природные материалы для творчества;KOTELNIKOVARTIFACT;5;0;5185;6396.76;-1027.08;82.08;1700;4.9;
298059552;jw-nb-agt-m-0038;Браслеты;KOTELNIKOVARTIFACT;4;2;3492;6387.32;386.66;242.6;1000;4.63;
